"age","workclass","educational.num","marital.status","occupation","relationship","gender","capital.gain","capital.loss","hours.per.week","income_.50K"
67,"Private",16,"Divorced","Exec-managerial","Not-in-family","Male",99999,0,60,"1"
17,"Private",8,"Never-married","Other-service","Own-child","Male",0,0,15,"0"
31,"Private",13,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,40,"1"
58,"State-gov",4,"Married-civ-spouse","Transport-moving","Husband","Male",0,0,40,"0"
25,"State-gov",10,"Never-married","Other-service","Not-in-family","Male",0,0,40,"0"
59,"State-gov",9,"Never-married","Adm-clerical","Own-child","Male",0,0,40,"0"
70,"Private",5,"Married-civ-spouse","Machine-op-inspct","Wife","Female",2653,0,40,"0"
35,"Self-emp-not-inc",13,"Married-civ-spouse","Sales","Husband","Male",0,0,60,"0"
28,"Private",9,"Never-married","Handlers-cleaners","Not-in-family","Male",0,0,50,"0"
28,"Private",9,"Married-civ-spouse","Exec-managerial","Husband","Male",4386,0,45,"1"
21,"Private",10,"Never-married","Exec-managerial","Own-child","Male",0,0,25,"0"
30,"Self-emp-not-inc",9,"Married-civ-spouse","Machine-op-inspct","Own-child","Male",0,0,60,"0"
59,"Self-emp-not-inc",10,"Widowed","Farming-fishing","Not-in-family","Female",6849,0,40,"0"
20,"Private",9,"Never-married","Handlers-cleaners","Own-child","Male",0,0,40,"0"
45,"Private",4,"Never-married","Other-service","Not-in-family","Male",0,0,10,"0"
76,"Private",4,"Widowed","Protective-serv","Not-in-family","Female",0,0,12,"0"
30,"Private",6,"Married-civ-spouse","Transport-moving","Husband","Male",0,0,55,"0"
54,"Federal-gov",9,"Married-civ-spouse","Exec-managerial","Husband","Male",5178,0,40,"1"
19,"Local-gov",10,"Never-married","Prof-specialty","Own-child","Female",0,0,30,"0"
44,"Private",16,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,50,"1"
31,"Private",10,"Married-civ-spouse","Transport-moving","Husband","Male",0,0,40,"0"
47,"Private",9,"Married-civ-spouse","Sales","Husband","Male",0,0,40,"0"
37,"Self-emp-not-inc",9,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
59,"Private",13,"Married-civ-spouse","Handlers-cleaners","Husband","Male",0,0,40,"1"
27,"Self-emp-not-inc",7,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
24,"Private",9,"Married-civ-spouse","Machine-op-inspct","Husband","Male",0,0,40,"0"
49,"Private",10,"Married-civ-spouse","Prof-specialty","Husband","Male",0,1848,44,"1"
36,"Private",14,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,60,"1"
54,"Self-emp-inc",13,"Married-civ-spouse","Exec-managerial","Husband","Male",15024,0,40,"1"
44,"Private",10,"Widowed","Adm-clerical","Unmarried","Female",0,0,32,"0"
35,"Private",10,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,60,"0"
19,"Local-gov",9,"Divorced","Exec-managerial","Not-in-family","Female",0,0,35,"0"
71,"Private",9,"Married-civ-spouse","Exec-managerial","Husband","Male",0,2377,45,"1"
62,"Self-emp-not-inc",9,"Widowed","Adm-clerical","Other-relative","Female",0,0,30,"0"
35,"Self-emp-not-inc",9,"Never-married","Craft-repair","Other-relative","Male",0,0,60,"0"
64,"Local-gov",5,"Married-civ-spouse","Other-service","Husband","Male",0,0,40,"0"
53,"Private",1,"Married-civ-spouse","Other-service","Husband","Male",0,0,40,"0"
30,"Private",10,"Never-married","Exec-managerial","Own-child","Female",0,0,40,"0"
34,"Private",13,"Never-married","Machine-op-inspct","Not-in-family","Female",0,0,39,"0"
62,"Private",13,"Married-civ-spouse","Exec-managerial","Husband","Male",0,1902,1,"1"
21,"State-gov",10,"Never-married","Prof-specialty","Own-child","Female",0,0,40,"0"
42,"Private",9,"Married-civ-spouse","Sales","Husband","Male",0,0,40,"0"
26,"Private",10,"Married-civ-spouse","Transport-moving","Husband","Male",0,0,52,"1"
43,"Private",10,"Divorced","Tech-support","Unmarried","Female",0,0,35,"0"
28,"Private",13,"Never-married","Tech-support","Not-in-family","Female",0,0,35,"0"
23,"Private",13,"Never-married","Sales","Own-child","Female",0,0,30,"0"
56,"Self-emp-not-inc",9,"Divorced","Other-service","Not-in-family","Male",0,0,50,"0"
21,"Private",9,"Never-married","Transport-moving","Own-child","Female",0,0,40,"0"
30,"Private",14,"Never-married","Prof-specialty","Not-in-family","Male",0,0,30,"0"
58,"Private",13,"Married-civ-spouse","Adm-clerical","Husband","Male",0,0,40,"0"
40,"Private",9,"Never-married","Adm-clerical","Not-in-family","Female",0,0,40,"0"
21,"Private",10,"Never-married","Adm-clerical","Own-child","Male",0,0,50,"0"
25,"Private",5,"Married-civ-spouse","Handlers-cleaners","Husband","Male",0,0,40,"0"
63,"Self-emp-not-inc",14,"Separated","Prof-specialty","Not-in-family","Male",0,0,40,"1"
50,"Self-emp-inc",14,"Separated","Exec-managerial","Unmarried","Male",0,0,45,"0"
29,"Local-gov",9,"Never-married","Handlers-cleaners","Unmarried","Male",0,1590,45,"0"
50,"Local-gov",9,"Married-civ-spouse","Transport-moving","Husband","Male",0,0,40,"0"
27,"Private",14,"Never-married","Sales","Own-child","Female",0,0,40,"0"
19,"Private",5,"Never-married","Machine-op-inspct","Own-child","Male",0,0,40,"0"
52,"State-gov",16,"Married-civ-spouse","Prof-specialty","Husband","Male",0,1887,70,"1"
33,"Local-gov",9,"Divorced","Tech-support","Not-in-family","Female",0,0,55,"0"
38,"State-gov",10,"Never-married","Tech-support","Unmarried","Female",0,0,50,"0"
34,"Federal-gov",10,"Never-married","Adm-clerical","Not-in-family","Female",0,0,72,"0"
49,"Self-emp-inc",9,"Married-civ-spouse","Sales","Husband","Male",0,0,40,"0"
36,"Private",10,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,55,"1"
46,"Self-emp-not-inc",10,"Divorced","Exec-managerial","Unmarried","Female",0,0,50,"0"
21,"Private",9,"Never-married","Adm-clerical","Own-child","Female",0,0,44,"0"
32,"Private",13,"Never-married","Sales","Not-in-family","Male",0,0,45,"0"
24,"Private",3,"Married-civ-spouse","Farming-fishing","Husband","Male",0,0,60,"0"
59,"Private",9,"Widowed","Other-service","Not-in-family","Female",0,0,35,"0"
20,"State-gov",9,"Never-married","Adm-clerical","Not-in-family","Male",0,0,40,"0"
32,"Private",9,"Married-civ-spouse","Prof-specialty","Husband","Male",0,1485,48,"0"
47,"Private",15,"Married-civ-spouse","Exec-managerial","Husband","Male",99999,0,40,"1"
37,"Private",5,"Married-civ-spouse","Machine-op-inspct","Husband","Male",0,0,50,"1"
32,"Private",13,"Married-civ-spouse","Exec-managerial","Husband","Male",0,1887,55,"1"
20,"Private",10,"Never-married","Other-service","Other-relative","Female",4416,0,25,"0"
46,"Private",3,"Never-married","Machine-op-inspct","Own-child","Female",0,0,40,"0"
37,"Private",9,"Married-civ-spouse","Transport-moving","Husband","Male",0,0,45,"0"
27,"Private",9,"Never-married","Other-service","Not-in-family","Female",0,0,40,"0"
